Record_Number,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,FICO,Status
991,14000,16.32,60,2,342.84,14000,9.7,687,1
992,16750,14.96,36,14,580.33,16750,2.8,702,1
993,10000,13.24,36,1,338.1,10000,18.2,672,1
994,16400,13.79,36,3,558.84,16400,17.43,682,1
995,13000,17.51,60,1,326.66,13000,21.74,712,0
996,9600,17.49,60,1,241.13,9600,13.77,677,0
997,5400,8.94,36,1,171.57,5400,10.48,732,1
998,35000,19.03,60,1,908.5,35000,16.94,707,0
999,7500,12.12,36,1,249.54,7500,10.37,697,1
1000,15000,15.68,36,1,525.03,15000,22.16,672,0
1001,8500,6.17,36,1,259.25,8500,22.9,742,0
1002,8000,15.58,36,1,279.61,8000,12.01,667,0
1003,2500,12.18,36,14,83.25,2500,22.41,687,0
1004,20000,10.59,60,3,430.78,20000,8.7,772,0
1005,12000,15.68,36,3,420.02,12000,17.57,712,1
1006,4800,11.09,36,1,157.36,4800,11.37,677,1
1007,5000,11.83,36,4,165.67,5000,5.66,702,0
1008,32775,18.39,60,1,514.69,20100,16.41,707,0
1009,7500,11.03,36,1,166.23,5075,17.37,692,1
1010,4800,14.35,36,6,164.87,4800,13.8,667,1
1011,5775,9.63,36,10,185.35,5775,7.15,732,0
1012,5000,11.86,36,5,165.74,5000,9.3,692,0
1013,10000,11.46,36,3,329.57,10000,21.69,722,1
1014,6500,7.74,36,1,202.93,6500,18,787,1
1015,4800,8.49,36,14,151.51,4800,22.77,707,0
1016,5000,12.73,36,4,167.84,5000,1.53,682,0
1017,17500,14.96,60,1,415.96,17500,16.6,702,0
1018,5000,11.86,36,1,165.74,5000,7.02,667,0
1019,25000,17.56,36,5,898.31,25000,14,707,0
1020,6600,7.49,36,1,205.28,6600,19.55,732,1
1021,25000,15.21,60,2,394.96,16525,10.53,737,0
1022,25000,14.79,60,2,592,25000,16.84,737,1
1023,3000,12.84,36,11,100.86,3000,4.89,687,0
1024,9600,10.75,60,1,207.54,9600,10.06,737,0
1025,14000,17.49,60,1,351.64,14000,5.93,712,0
1026,35000,22.35,60,1,973.64,35000,18.41,667,0
1027,10000,14.11,36,1,342.29,10000,21.32,682,0
1028,3000,12.68,36,2,100.63,3000,3.05,692,0
1029,5000,12.12,36,1,166.36,5000,14.92,682,1
1030,21000,16.89,60,14,520.67,21000,20.47,707,0
1031,13500,19.69,60,1,355.35,13500,15.08,667,0
1032,7000,6.17,60,4,102.89,5300,19,752,1
1033,15000,18.25,36,3,544.17,15000,19.66,672,1
1034,6000,15.23,60,1,143.47,6000,9.2,692,0
1035,5000,14.42,36,3,171.92,5000,1.96,697,0
1036,16000,15.31,36,1,557.05,16000,20.64,677,0
1037,15000,13.16,36,1,506.56,15000,6.52,692,1
1038,8000,7.29,36,2,248.08,8000,14.1,732,1
1039,6000,10.25,36,1,194.31,6000,16.33,712,1
1040,20000,10.99,36,1,654.71,20000,21.02,727,0
1041,6500,9.63,36,1,208.61,6500,11.03,717,1
1042,2200,15.23,36,1,76.52,2200,16.2,677,1
1043,20000,12.73,36,2,671.33,20000,12.41,722,1
1044,9000,6.54,36,4,172.51,5625,24.28,727,1
1045,6000,13.11,36,1,202.49,6000,30,672,1
1046,3000,9.63,36,6,96.29,3000,5.36,742,1
1047,12000,14.27,60,1,280.91,12000,7.26,707,0
1048,7500,15.99,36,1,263.65,7500,22.49,667,0
1049,20200,14.74,36,1,697.65,20200,10.19,692,1
1050,15000,15.33,36,1,522.41,15000,8.93,672,0
1051,12000,11.14,36,1,393.65,12000,23.2,772,0
1052,7325,17.8,60,1,185.22,7325,20.37,682,0
1053,15000,7.9,36,1,469.36,15000,12.72,767,1
1054,6825,8.32,36,5,149.55,4750,5.49,747,0
1055,12000,10.38,36,10,389.36,12000,18.28,722,1
1056,17000,15.81,36,1,596.08,17000,17.01,687,0
1057,24250,16.69,60,1,598.65,24250,11.47,702,1
1058,20000,16.69,60,1,493.73,20000,20.16,692,1
1059,15000,19.41,60,1,392.51,15000,16.3,662,0
1060,18000,7.51,36,5,560,18000,14.46,772,1
1061,10625,8.49,36,1,335.36,10625,16.98,737,0
1062,20000,13.98,60,14,325.62,14000,4.67,717,1
1063,11200,16.45,60,14,196.47,8000,24.41,682,0
1064,8000,12.99,36,1,269.52,8000,15.43,687,1
1065,10000,8.07,36,6,313.67,10000,0.72,787,1
1066,35000,22.74,60,1,981.45,35000,16.94,672,1
1067,16000,16.82,60,1,396.1,16000,22.56,677,0
1068,4000,12.36,36,1,133.55,4000,9.48,662,1
1069,3000,9.32,36,1,95.85,3000,6.9,727,1
1070,7000,10.99,36,1,229.14,7000,6.2,697,0
1071,6000,11.46,36,2,197.75,6000,13.73,692,0
1072,25000,20.16,36,3,931.09,25000,8.04,667,0
1073,12000,10.74,36,3,391.39,12000,18.24,707,1
1074,5000,8.59,36,1,158.06,5000,9.04,757,0
1075,7500,14.75,36,4,259.08,7500,20.4,662,1
1076,7500,13.16,36,3,253.28,7500,21.5,702,0
1077,14000,14.42,36,2,481.36,14000,13.75,687,0
1078,15000,13.99,36,2,512.6,15000,14.46,692,1
1079,7000,7.51,36,1,217.78,7000,21.27,737,0
1080,1500,13.48,36,14,50.89,1500,0.63,692,0
1081,12000,9.63,36,6,385.14,12000,15,752,0
1082,22000,7.88,36,1,688.19,22000,14.08,792,1
1083,18000,10.25,36,2,582.93,18000,6.85,757,0
1084,10000,14.22,36,5,342.85,10000,8.65,707,1
1085,10000,7.88,36,1,312.82,10000,9.37,747,1
1086,10000,8.88,60,1,207.01,10000,15.69,772,0
1087,11000,12.18,36,14,366.3,11000,9.38,707,1
1088,12000,11.71,36,1,396.92,12000,20.08,707,1
1089,12000,7.14,36,1,371.3,12000,16.2,772,0
1090,10000,14.59,36,2,344.65,10000,21.48,687,0
1091,6400,13.48,36,13,217.13,6400,8.11,692,1
1092,10000,7.49,36,2,311.02,10000,9.91,752,1
1093,5000,15.58,36,1,174.76,5000,13.68,662,0
1094,5000,17.99,36,4,180.74,5000,0.4,672,0
1095,3700,7.74,36,14,115.51,3700,22.99,742,1
1096,4000,7.88,36,13,125.13,4000,1.46,752,1
1097,18000,7.88,36,7,563.06,18000,14.72,747,1
1098,9000,7.14,36,1,278.48,9000,10.44,767,1
1099,8000,14.26,36,3,274.45,8000,21.88,737,0
1100,9800,13.11,36,1,330.7,9800,8.25,687,0
1101,9000,11.34,36,2,296.1,9000,11.68,682,0
1102,4750,14.96,36,14,164.57,4750,22.36,662,0
1103,2800,8,36,1,87.75,2800,2.43,747,1
1104,12500,15.31,36,1,435.22,12500,20.95,682,1
1105,5000,14.96,36,1,173.23,5000,13.68,692,0
1106,6000,8,36,1,188.02,6000,6.44,752,1
1107,2000,6.03,36,3,60.88,2000,3.42,757,1
1108,5000,11.48,36,1,164.85,5000,8.67,712,0
1109,35000,10.99,60,1,509.75,23450,9.82,787,1
1110,1500,11.48,36,14,49.46,1500,7.07,737,0
1111,24000,18.72,36,1,876.36,24000,19.8,667,0
1112,15000,11.72,36,1,496.22,15000,2.42,682,1
1113,6500,10.74,36,1,212.01,6500,6.8,697,1
1114,4000,10.99,36,14,130.95,4000,24.67,697,1
1115,15000,6.54,36,1,460.01,15000,9.47,752,1
1116,10800,7.51,36,5,336,10800,17.06,742,0
1117,4900,10.28,36,14,158.76,4900,15.3,692,0
1118,6000,10.59,36,1,195.27,6000,5.06,717,1
1119,9200,8.94,36,1,292.3,9200,18.17,737,1
1120,8000,15.31,36,1,278.53,8000,0.49,677,0
1121,5000,5.79,36,1,105.39,3475,6.06,747,1
1122,5000,10.08,36,1,161.53,5000,12.71,732,1
1123,3750,13.85,36,14,127.89,3750,20.16,667,1
1124,20000,16.49,60,5,491.59,20000,16.52,712,0
1125,25000,11.83,36,12,828.35,25000,4.87,767,1
1126,7500,9.45,36,12,240.08,7500,1.57,722,0
1127,12250,8.94,36,1,389.21,12250,12.6,752,1
1128,12000,16.32,60,4,293.87,12000,9.74,682,0
1129,13000,8.94,36,1,413.03,13000,8.77,747,1
1130,3200,15.28,36,14,111.37,3200,3.79,687,0
1131,24575,20.89,60,1,663.32,24575,22.99,682,0
1132,5000,12.73,36,14,167.84,5000,8.12,692,0
1133,15000,12.73,36,1,503.5,15000,18.96,702,0
1134,5000,10.38,36,5,162.23,5000,10.81,727,1
1135,6000,12.21,36,14,199.89,6000,6.27,687,0
1136,15000,11.14,36,4,492.06,15000,9.35,767,0
1137,3000,11.49,36,1,98.92,3000,1.46,717,1
1138,5425,14.54,36,3,186.84,5425,17.46,667,0
1139,13000,8.9,36,5,412.8,13000,14.21,737,1
1140,10000,12.99,36,14,336.9,10000,23.43,672,0
1141,2200,15.27,36,1,76.56,2200,5.47,682,0
1142,5500,21.28,60,1,149.67,5500,18.87,662,0
1143,11200,17.93,60,1,283.99,11200,9.47,662,0
1144,6000,12.87,36,1,201.8,6000,3.45,697,1
1145,7500,6.54,36,3,230.01,7500,9.66,747,1
1146,5000,12.87,36,14,168.17,5000,3,712,1
1147,13000,9.91,36,1,418.93,13000,23.71,732,0
1148,28000,15.31,60,1,670.69,28000,16.78,727,1
1149,4000,12.42,36,2,133.67,4000,19.64,692,1
1150,15700,19.42,60,1,258.46,9875,9.12,672,0
1151,6500,12.23,60,1,145.35,6500,18.99,692,0
1152,7800,15.99,36,1,274.19,7800,7.48,672,1
1153,2800,14.96,36,3,97.01,2800,20.95,712,1
1154,7000,10.08,36,14,122.76,3800,21.54,742,1
1155,2050,13.49,36,1,69.56,2050,22.84,707,0
1156,4800,15.23,36,8,166.94,4800,2.08,697,0
1157,10000,6.92,36,1,308.41,10000,10.54,762,1
1158,4750,13.61,60,1,109.57,4750,24.7,692,0
1159,7200,12.69,36,14,241.53,7200,20.19,682,0
1160,9000,15.37,36,13,313.62,9000,6.27,712,1
1161,7000,8.63,36,1,221.4,7000,2.74,727,1
1162,12000,14.65,36,1,413.94,12000,16.56,677,1
1163,12000,7.51,36,4,373.33,12000,8.39,757,1
1164,16000,13.23,36,1,540.88,16000,1.07,712,1
1165,20000,14.91,60,2,474.86,20000,10.14,747,1
1166,33000,17.99,60,1,837.81,33000,21.88,722,0
1167,6800,12.53,36,5,227.58,6800,4.1,747,0
1168,4000,14.42,36,11,137.54,4000,8.26,697,1
1169,10000,14.11,36,1,313.2,9150,24.34,692,0
1170,7200,7.51,36,1,224,7200,13.77,767,1
1171,9300,7.51,36,7,289.34,9300,24.51,737,0
1172,8000,13.72,36,1,272.34,8000,6.75,667,1
1173,6000,6.76,36,4,184.61,6000,5.32,802,1
1174,10000,7.51,36,5,311.11,10000,5.04,787,1
1175,12000,11.99,36,4,398.52,12000,1.31,742,1
1176,5000,13.06,36,1,168.62,5000,21.56,682,0
1177,2500,7.29,36,1,77.53,2500,15.95,722,0
1178,15000,9.88,36,1,483.16,15000,21.07,752,1
1179,20000,16.77,60,3,494.59,20000,9.65,712,0
1180,3000,13.98,36,1,102.51,3000,16.51,672,0
1181,8000,14.27,36,14,274.48,8000,3.37,682,0
1182,9325,15.81,36,1,326.97,9325,16.42,672,0
1183,13350,9.76,36,5,429.27,13350,21.89,707,0
1184,19000,17.27,36,2,679.96,19000,21.38,677,1
1185,2650,15.28,60,6,63.44,2650,18.14,677,1
1186,8000,15.21,60,1,191.21,8000,21.69,687,1
1187,15600,10.71,36,1,508.59,15600,14.58,717,0
1188,24000,20.5,36,1,898.06,24000,21.47,662,0
1189,15600,17.49,60,1,391.83,15600,15,682,0
1190,2500,14.27,36,1,85.78,2500,10.33,672,1
1191,20000,12.69,60,3,451.9,20000,4.9,737,0
1192,4475,9.99,36,3,144.38,4475,10.86,702,1
1193,9000,5.79,36,5,272.95,9000,1.91,812,1
1194,2500,12.84,36,8,84.05,2500,17.17,692,0
1195,14400,10.74,36,1,469.67,14400,12.2,722,1
1196,35000,13.99,60,14,814.21,35000,9.14,757,0
1197,2500,17.04,36,3,89.19,2500,13.66,692,1
1198,3000,5.99,36,6,91.26,3000,18.29,752,1
1199,4000,7.9,36,10,125.17,4000,9.13,712,1
1200,14000,9.99,36,1,451.68,14000,12.46,707,1
1201,18000,11.58,36,3,594.25,18000,16.78,727,0
1202,22250,11.11,36,3,729.6,22250,6.14,747,1
1203,3000,11.89,36,1,99.5,3000,19.06,707,0
1204,15000,10.2,36,3,485.42,15000,7.93,747,0
1205,8000,13.49,36,1,271.45,8000,14.92,692,0
1206,15000,15.68,36,14,525.03,15000,2.68,682,1
1207,4000,11.89,36,1,132.66,4000,5.81,757,1
1208,3900,5.99,36,2,118.63,3900,4.53,762,1
1209,10000,13.49,36,1,339.31,10000,13.95,672,0
1210,17600,20.85,60,1,474.66,17600,8.77,667,1
1211,3500,13.72,36,5,119.15,3500,15.58,662,0
1212,5750,8,36,2,180.19,5750,2.59,807,1
1213,14000,11.99,60,1,311.36,14000,5.55,712,0
1214,17600,8.94,36,2,559.18,17600,12.34,782,0
1215,12500,9.63,36,1,401.18,12500,2.83,752,1
1216,10000,20.89,36,1,376.19,10000,4.32,672,0
1217,8000,14.96,36,4,277.16,8000,4.46,672,0
1218,30600,12.12,60,8,682.54,30600,7.03,807,1
1219,10600,15.65,60,1,255.81,10600,22.5,682,1
1220,25000,12.12,60,1,557.63,25000,17.11,782,0
1221,2200,17.49,60,4,55.26,2200,24.78,697,1
1222,12000,8.07,36,12,376.43,12000,8.88,782,1
1223,4750,14.59,36,3,163.71,4750,11.92,697,0
1224,1000,11.89,36,14,33.17,1000,5.57,697,1
1225,2925,10.71,36,1,95.36,2925,6.62,682,1
1226,12000,15.23,60,5,286.93,12000,8.39,712,1
1227,17000,11.14,36,1,557.66,17000,6.65,762,0
1228,35000,14.54,60,3,824.23,35000,13.73,757,0
1229,7400,7.51,36,1,230.23,7400,11.12,737,0
1230,5000,7.88,60,14,101.1,5000,5.91,772,1
1231,4750,13.85,36,14,162,4750,11.64,677,0
1232,5000,12.41,36,2,167.06,5000,23.88,677,0
1233,5000,19.47,36,3,184.49,5000,1.78,667,0
1234,10000,12.62,60,1,225.6,10000,8.29,737,1
1235,6000,15.37,36,5,209.08,6000,3.3,707,1
1236,6000,10.99,60,7,130.43,6000,8.27,777,1
1237,8000,20.9,60,1,215.98,8000,20.4,672,0
1238,12000,12.53,36,1,401.6,12000,18.89,702,1
1239,10200,17.88,60,14,258.35,10200,18.48,667,0
1240,8050,11.11,60,1,175.47,8050,20.19,707,0
1241,8000,11.46,36,1,263.66,8000,21.72,697,0
1242,12000,10.37,36,4,389.3,12000,6.76,752,1
1243,10000,19.41,60,1,261.67,10000,12.53,677,0
1244,8400,10.74,36,5,273.98,8400,18.93,702,1
1245,25000,16.32,36,1,882.89,25000,22.48,687,0
1246,5000,9.88,36,1,161.06,5000,14.34,717,0
1247,7500,11.59,36,14,247.65,7500,13.91,692,1
1248,24000,9.76,36,2,771.72,24000,20.02,727,1
1249,20000,13.11,60,1,456.19,20000,19.93,757,1
1250,2400,7.9,36,2,75.1,2400,14.73,717,1
1251,16000,14.26,36,1,548.9,16000,14.67,682,0
1252,8000,12.84,36,7,268.95,8000,16.73,682,1
1253,15250,11.99,60,1,339.16,15250,26.08,737,0
1254,10000,13.11,36,5,337.47,10000,21.65,707,0
1255,25000,15.58,36,1,774.15,22150,14.43,697,0
1256,9000,9.63,36,13,288.85,9000,18.66,712,0
1257,10000,14.26,36,1,343.06,10000,13.49,687,0
1258,8000,16.29,36,14,282.41,8000,9.5,667,0
1259,4000,13.92,36,4,136.55,4000,18.45,672,1
1260,3000,11.14,36,1,98.42,3000,17.29,717,1
1261,9300,19.72,36,10,344.3,9300,24.9,667,0
1262,7200,13.47,36,1,244.25,7200,12.83,687,1
1263,1500,15.23,36,1,52.17,1500,19.67,667,1
1264,7000,7.66,36,2,218.26,7000,3.78,722,0
1265,6000,14.61,36,1,206.86,6000,12.95,667,0
1266,6500,6.54,36,1,199.34,6500,8.48,732,0
1267,13600,16.32,36,1,480.29,13600,8.69,672,1
1268,14500,5.42,36,5,437.32,14500,10.1,797,1
1269,1500,13.16,36,13,50.66,1500,17.26,672,0
1270,10875,12.84,36,2,365.6,10875,13.76,697,0
1271,11500,12.53,36,1,384.87,11500,15.91,697,1
1272,10000,15.58,36,1,349.51,10000,13.75,672,1
1273,10000,12.12,36,2,332.72,10000,16.47,722,0
1274,5600,10.95,36,12,183.2,5600,10.56,722,0
1275,8000,11.49,36,5,263.78,8000,19.9,702,1
1276,15000,11.14,36,5,492.06,15000,13.98,752,1
1277,13750,13.22,36,1,464.76,13750,24.03,707,0
1278,3000,8.9,36,2,95.26,3000,25.87,717,1
1279,12000,13.35,36,1,406.36,12000,12.51,682,1
1280,25000,18.3,36,1,907.6,25000,15.2,677,0
1281,12000,7.88,36,2,375.38,12000,9.57,747,1
1282,5000,12.61,36,1,167.54,5000,9.36,672,1
1283,15000,15.99,60,1,364.7,15000,20.18,702,0
1284,7500,13.24,36,1,253.58,7500,13.44,667,1
1285,12000,10.62,36,1,390.72,12000,18.17,717,0
1286,10500,9.38,36,3,335.76,10500,6.41,737,0
1287,12800,13.49,60,1,294.47,12800,26.43,722,0
1288,5000,9.32,36,5,159.74,5000,8.45,762,1
1289,18000,14.17,60,3,420.42,18000,15.89,757,1
1290,4800,18.39,60,14,122.91,4800,11.87,662,0
1291,6000,10.39,36,8,194.71,6000,17.47,702,1
1292,4000,7.88,36,14,125.13,4000,7.27,737,1
1293,10000,12.61,36,1,335.07,10000,20.88,712,0
1294,7000,8,36,4,219.36,7000,0,757,0
1295,1000,9.99,36,10,32.27,1000,22.02,697,1
1296,3000,11.36,36,1,98.74,3000,1.48,697,1
1297,17000,9.99,60,1,320.76,15100,23.06,742,1
1298,9600,18.55,60,1,246.66,9600,15.23,677,1
1299,5000,14.22,36,1,171.43,5000,16.04,697,1
1300,22000,12.23,60,1,297.4,13300,5.21,727,0
1301,25000,13.49,36,1,848.27,25000,19.35,697,1
1302,20000,13.85,36,1,682.08,20000,18.63,697,0
1303,28000,20.5,36,1,1047.73,28000,14.56,672,0
1304,11200,13.16,36,3,378.23,11200,4.25,732,0
1305,4000,7.49,36,5,124.41,4000,5.7,742,1
1306,35000,7.49,36,1,1088.56,35000,13.62,777,0
1307,3625,10.59,36,7,117.98,3625,13.3,702,0
1308,10000,10.75,60,14,216.18,10000,6.98,757,0
1309,7000,14.09,36,1,239.55,7000,15.18,677,1
1310,7200,14.96,36,14,249.46,7200,10.08,672,0
1311,4650,13.67,36,1,158.19,4650,16.23,682,1
1312,27600,11.71,60,3,609.91,27600,17.45,752,0
1313,16000,12.68,36,1,536.65,16000,9.99,707,1
1314,10000,9.63,36,1,320.95,10000,15.88,762,0
1315,15000,11.58,36,5,495.21,15000,4.8,762,1
1316,5000,11.78,36,2,165.55,5000,22.49,692,0
1317,7400,13.11,36,2,249.72,7400,5.38,687,1
1318,4000,14.22,36,1,137.14,4000,10.77,672,0
1319,8000,14.59,36,1,275.72,8000,11.59,687,0
1320,6000,15.96,36,1,210.83,6000,17.13,662,1
1321,20000,11.58,36,2,660.27,20000,3.93,752,0
1322,4000,6.17,36,10,122,4000,8.91,762,0
1323,20000,18.62,36,1,729.29,20000,12.62,667,0
1324,6400,14.22,36,1,219.42,6400,0.57,687,0
1325,20000,19.91,60,1,477.98,18075,17.49,672,0
1326,20000,14.61,36,1,689.51,20000,14.84,682,1
1327,3075,14.33,36,1,105.59,3075,16.4,677,0
1328,3200,5.99,36,5,97.34,3200,16.76,792,0
1329,21000,11.71,60,1,464.07,21000,6.62,737,0
1330,8000,16.77,36,1,284.31,8000,13.2,672,0
1331,12500,10.25,36,1,404.81,12500,9.46,727,1
1332,10000,6.03,36,3,304.36,10000,28.42,792,0
1333,8550,14.3,36,1,293.47,8550,18.14,692,0
1334,2675,8.07,36,2,83.92,2675,16.68,737,1
1335,25000,10.71,36,2,815.04,25000,11.86,727,0
1336,6000,7.68,36,14,187.14,6000,2.54,802,1
1337,2650,7.4,36,14,82.31,2650,1.2,807,0
1338,15600,7.9,36,7,488.13,15600,20.4,752,1
1339,15000,13.67,36,1,510.27,15000,11.39,697,0
1340,18000,11.78,36,1,595.97,18000,17.43,707,1
1341,20000,8.9,36,4,635.07,20000,4.87,762,0
1342,3325,16.32,36,1,117.43,3325,5.06,662,0
1343,5000,13.11,36,6,168.74,5000,9.95,677,1
1344,3500,11.86,36,1,116.02,3500,5.89,692,0
1345,20000,14.35,36,7,686.96,20000,9.77,712,0
1346,3000,5.79,36,4,90.99,3000,17.6,752,1
1347,10000,11.36,36,1,329.12,10000,11.77,707,1
1348,26000,18.25,60,4,663.78,26000,3.93,707,1
1349,8000,17.49,36,1,287.18,8000,5.51,662,0
1350,12000,5.42,36,1,361.92,12000,4.41,772,1
1351,7200,13.67,36,1,244.93,7200,1.78,682,1
1352,16000,18.55,36,2,582.87,16000,8.58,667,1
1353,4000,5.42,36,1,120.64,4000,13.99,752,0
1354,12000,14.96,36,1,415.76,12000,10.63,677,0
1355,10200,9.63,36,3,327.37,10200,15.46,747,1
1356,10000,15.33,36,7,348.29,10000,9.82,667,1
1357,12000,11.83,36,14,397.61,12000,18.9,732,0
1358,7725,13.75,36,1,263.09,7725,9.8,677,0
1359,16800,7.9,60,1,339.84,16800,17.95,782,1
1360,22000,12.61,60,1,496.19,22000,14.03,722,0
1361,21600,17.27,36,5,773.01,21600,10.85,682,0
1362,5600,10.75,36,6,182.68,5600,18.96,712,1
1363,5000,6.62,36,3,153.52,5000,4.32,762,0
1364,14500,13.16,36,1,317.44,9400,24.31,712,0
1365,6000,18.67,60,6,154.56,6000,8.05,672,0
1366,10000,14.54,36,1,344.41,10000,25.27,737,0
1367,3500,10.65,36,10,114.01,3500,16.49,707,0
1368,10000,15.27,36,2,347.98,10000,10,682,0
1369,7175,7.49,36,7,223.16,7175,29.29,722,0
1370,3000,6.17,36,5,91.5,3000,0.9,817,0
1371,14000,10.37,36,1,454.18,14000,19.15,707,1
1372,24575,17.51,60,1,617.52,24575,23.18,682,0
1373,14000,12.12,36,1,465.81,14000,28.66,692,1
1374,14600,13.06,60,1,332.65,14600,23.02,712,1
1375,5000,6.99,36,1,154.37,5000,17.65,732,1
1376,3000,10.37,36,3,97.33,3000,3.34,712,0
1377,5000,5.42,36,1,150.8,5000,3.61,787,1
1378,9000,10,36,2,290.41,9000,14.03,732,1
1379,12000,6.91,36,1,370.04,12000,18.1,722,0
1380,24500,10.99,36,1,802.01,24500,12.8,732,0
1381,5600,10.74,36,1,182.65,5600,11.56,692,0
1382,10000,13.99,36,1,341.73,10000,10.03,687,1
1383,2500,8.49,36,5,78.91,2500,17.87,707,0
1384,10000,9.76,36,7,321.55,10000,9.92,727,1
1385,7200,11.71,36,1,238.15,7200,22.06,682,0
1386,10000,18.39,60,5,256.07,10000,13.86,712,1
1387,12000,7.51,36,1,373.33,12000,18.61,737,1
1388,7750,14.59,36,1,267.11,7750,24.99,667,0
1389,10000,13.43,36,7,339.02,10000,3.92,682,0
1390,25000,14.11,36,1,855.73,25000,11.67,707,1
1391,15000,15.99,60,1,364.7,15000,11.85,702,0
1392,32350,18.64,60,1,832.79,32350,22.9,717,0
1393,16000,11.71,36,1,529.22,16000,19.32,707,0
1394,6000,9.76,36,14,192.93,6000,12.32,692,0
1395,13200,19.72,36,14,488.68,13200,7.59,687,1
1396,10000,15.21,36,5,347.69,10000,23.47,667,1
1397,6000,7.51,36,2,186.67,6000,0.88,772,1
1398,5500,11.11,36,2,180.35,5500,16.52,677,0
1399,5000,12.53,36,12,167.34,5000,11.81,682,1
1400,19200,12.87,36,2,645.76,19200,10.93,742,0
1401,12000,11.14,36,4,393.65,12000,17.82,742,0
1402,25000,18.62,60,1,643.3,25000,17.93,687,0
1403,10000,5.99,36,11,304.18,10000,5.88,782,1
1404,10200,13.92,36,1,348.2,10200,19.75,687,1
1405,5600,13.79,36,1,190.83,5600,12.89,687,0
1406,2400,7.88,36,1,75.08,2400,14.68,717,1
1407,23500,11.36,36,2,773.38,23500,19.72,717,0
1408,3000,11.99,36,1,99.63,3000,14.27,682,0
1409,1600,13.57,36,14,54.35,1600,21.46,712,0
1410,16000,13.98,36,1,546.69,16000,16.94,692,0
1411,7200,11.86,36,1,238.67,7200,18.86,697,0
1412,8450,13.49,60,4,194.39,8450,12.73,777,0
1413,8000,7.88,36,7,250.25,8000,12.24,727,1
1414,4500,9.76,36,1,144.7,4500,4.24,707,0
1415,10000,11.14,36,14,328.04,10000,22.08,732,1
1416,10000,13.43,36,5,339.02,10000,4.76,677,0
1417,6000,5.79,36,1,181.97,6000,4.26,762,0
1418,3200,13.22,36,5,108.17,3200,12.08,677,1
1419,10000,8.94,36,14,317.72,10000,13.34,737,0
1420,27000,7.9,36,1,844.84,27000,15.39,767,0
1421,15000,11.14,36,5,492.06,15000,3.76,757,0
1422,18000,19.05,60,1,467.43,18000,25.77,687,1
1423,1325,12.87,36,12,44.57,1325,19.29,702,0
1424,25000,12.98,60,2,568.58,25000,3.47,762,1
1425,5000,11.48,36,6,164.85,5000,9.92,747,0
1426,25000,9.01,36,3,795.11,25000,3.83,782,0
1427,3600,16.4,60,1,88.32,3600,20.26,667,0
1428,9375,11.71,36,1,310.09,9375,19.88,702,0
1429,6500,11.34,36,2,213.85,6500,12.95,687,1
1430,20000,13.67,60,1,461.96,20000,22.17,732,1
1431,3000,5.79,36,6,90.99,3000,7.64,777,1
1432,3500,15.58,36,1,122.33,3500,9.95,662,0
1433,3200,12.99,36,1,107.81,3200,17.54,697,1
1434,10600,12.99,36,1,357.11,10600,19.58,682,0
1435,13175,11.99,60,3,293.01,13175,9.77,722,0
1436,12000,10.38,36,2,389.36,12000,11.07,727,1
1437,5250,13.99,36,14,179.41,5250,7.06,677,1
1438,15000,12.84,36,2,504.27,15000,6.65,717,1
1439,14000,14.26,36,1,480.29,14000,20.04,682,0
1440,12000,10.38,36,5,389.36,12000,6.51,752,0
1441,6450,10.37,36,1,209.25,6450,2.42,692,1
1442,8000,7.9,36,1,250.33,8000,14.35,727,1
1443,20000,6.91,36,1,616.72,20000,24.65,742,1
1444,20000,20.25,60,5,532.67,20000,0.29,687,1
1445,3000,7.51,36,4,93.34,3000,15.07,727,1
1446,16000,6.03,36,1,486.97,16000,1.36,807,1
1447,11225,12.92,36,1,377.79,11225,23.31,712,0
1448,4000,7.14,36,14,123.77,4000,3.11,737,1
1449,15000,16.32,60,1,367.33,15000,15.65,682,0
1450,11000,8.94,36,1,349.49,11000,16.7,802,1
1451,25000,19.66,60,1,505.06,19200,21.33,677,0
1452,2125,12.99,36,1,71.59,2125,8.14,667,1
1453,8500,6.76,36,1,261.53,8500,5.75,777,1
1454,32400,22.85,60,1,744.77,26500,14.11,672,0
1455,8550,10.25,36,1,276.89,8550,18.89,722,0
1456,9700,13.61,36,1,329.69,9700,22.92,692,1
1457,10750,16,36,2,377.95,10750,21.93,667,1
1458,11000,10.75,60,2,237.8,11000,22.92,762,0
1459,12000,10.62,36,1,390.72,12000,11.97,717,0
1460,5000,14.27,60,4,117.05,5000,12.85,702,0
1461,14400,7.88,36,5,450.44,14400,1.91,777,1
1462,4800,12.12,36,1,159.71,4800,5.12,677,1
1463,15000,11.12,36,4,491.94,15000,9.54,712,0
1464,1500,12.53,36,14,50.2,1500,20.75,677,0
1465,10000,12.61,36,1,335.07,10000,18.64,702,0
1466,4800,8,36,6,150.42,4800,17.81,767,1
1467,12000,11.49,60,1,263.86,12000,13.93,757,1
1468,14000,18.25,36,2,507.9,14000,27.82,662,0
1469,2500,15.65,36,14,87.47,2500,20.02,692,1
1470,15000,18.25,36,14,544.17,15000,17.2,662,0
1471,8000,12.53,36,2,267.74,8000,10.37,697,0
